,,,,,
,Organization(s),Municipalities,Health Issues,Barriers to Health,Community Engagement
,Baystate Franklin Medical Center,"Ashfield, Athol, Bernardston, Buckland, Charlemont, Colrain, Conway, Deerfield, Erving, Gill, Greenfield, Hawley, Heath, Leverett, Leyden, Montague, New Salem, Northfield, Orange, Rowe, Shelburne, Shutesbury, Sunderland, Warwick, Wendell, Whately","Prenatal and Infant Health, Tobacco Use, Asthma, Heart Disease, Poor Nutrition, Teen Pregnancy, Homelessness, Housing Conditions, Lack of Physical Activity, Obesity, Diabetes, Stroke, Respiratory Disease, Mental Health, Poverty, Alcohol and Substance Use, Social Isolation","Access to Healthy Food, Cultural Sensitivity Issues, Lack of Prevention and Wellness Services, Lack of Affordable Housing, Transportation, Lack of Education, Cost of Care, Lack of Care Coordination, Lack of Services or Providers, Insurance Coverage, Healthy Literacy","Key Informant Interviews: 
25 
Focus Groups: 
4"
,Baystate Mary Lane Outpatient Center,"Barre, Belchertown, Brimfield, Brookfield, East Brookfield, Granby, Hardwick, Ludlow, Monson, New Braintree, North Brookfield, Palmer, Spencer, Wales, Ware, Warren, West Brookfield","Alcohol and Substance Use, Mental Health, Obesity, Heart Disease, Hypertension, Domestic Violence, Respiratory Disease, Poor Nutrition, Lack of Physical Activity, Diabetes, Prenatal and Infant Health, Asthma, Homelessness, Tobacco Use, Housing Conditions, Youth Development","Insurance Coverage, Transportation, Lack of Services or Providers, Health Literacy, Cultural Sensitivity Issues, Poverty, Unemployment, Lack of Affordable Housing, Lack of Care Coordination, Stigma, Access to Healthy Food, Cost of Care, Lack of Education, Lack of Clinic – Community Links","Key Informant Interviews: 
26 
Focus Groups: 
7"
,Baystate Medical Center,"Agawam, Blanford, Brimfield, West Springfield, Wilbraham, Chester, Chicopee, East Longmeadow, Granville, Hampden, Holland, Holyoke, Longmeadow, Ludlow, Monson, Montgomery, Palmer, Russell, Southwick, Springfield, Tolland,","Alcohol and Substance Use, Asthma, Prenatal and Infant Health, Diabetes, Mental Health, Heart Disease, Respiratory Disease, Bullying, Poverty, Violence, Environmental Concerns, Poor Nutrition, Lack of Physical Activity, Tobacco Use, Obesity, Hypertension, STIs, Teen Pregnancy, Crime","Transportation, Health Literacy, Insurance Coverage, Language Barriers, Cultural Sensitivity Issues, Unemployment, Lack of Affordable Housing, Lack of Care Coordination, Lack of Services or Providers, Stigma, Access to Healthy Food, Cost of Care, Lack of Education, Racism and Segregation","Key Informant Interviews: 
24 
Focus Groups: 
6"
,Baystate Noble Hospital,"Agawam, Blanford, Chester, Granville, Huntington, Russell, Southwick, West Springfield, Westfield","Mental Health, Alcohol and Substance Use, Obesity, Poor Nutrition, Lack of Physical Activity, Hypertension, Prenatal and Infant Health, Respiratory Disease, Diabetes, Asthma, Heart Disease, Homelessness, Housing Conditions","Insurance Coverage, Transportation, Language Barriers, Cultural Sensitivity Issues, Poverty, Unemployment, Lack of Affordable Housing, Lack of Care Coordination, Lack of Services or Providers, Health Literacy, Access to Healthy Food, Cost of Care, Lack of Education, Lack of Clinic – Community Links, Lack of Prevention and Wellness Services","Key Informant Interviews: 
17 
Focus Groups: 
8"
,Baystate Wing Hospital,"Barre, Belchertown, Brimfield, Brookfield, Hampden, Hardwick, Holland, Ludlow, Monson, New Braintree, North Brookfield, Palmer, Wales, Ware, Warren, West Brookfield, Wilbraham","Asthma, Hypertension, Domestic Violence, Oral Health, Poor Nutrition, Lack of Physical Activity, Respiratory Disease, Prenatal and Infant Health, Heart Disease, Homelessness, Tobacco Use, Obesity, Alcohol and Substance Use, Housing Conditions, Mental Health","Insurance Coverage, Transportation, Health Literacy, Cultural Sensitivity Issues, Poverty, Lack of Affordable Housing, Lack of Care Coordination, Lack of Services or Providers, Stigma, Access to Healthy Food, General Access to Care, Cost of Care, Lack of Education, Lack of Clinic – Community Links","Key Informant Interviews: 
26 
Focus Groups: 
7"
,Berkshire Health System,"Adams, Alford, Becket, Cheshire, Clarksburg, Dalton, Egremont, Florida, Great Barrington, Hancock, Hinsdale, Lanesborough, Lee, Lenox, Monterey, Mount Washington, New Ashford, New Marlborough, North Adams, Otis, Peru, Pittsfield, Richmond, Sandisfield, Savoy, Sheffield, Stockbridge, Tyringham, Washington, West Stockbridge, Williamstown, Windsor","Obesity, Hypertension, Lack of Physical Activity, Mental Health, Poor Nutrition, Tobacco Use, Teen Pregnancy, Youth Development, Crime, Motor Vehicle Accidents, Domestic Violence, Poverty, Alcohol and Substance Use, Diabetes","Lack of Prevention and Wellness Services, Transportation, General Access to Care, Insurance Coverage",N/P
,Beth Israel Deaconess Hospital - Milton,"Boston (Dorchester, Hyde Park), Braintree, Canton, Milton, Quincy, Randolph","Cancer, Alcohol and Substance Use, Diabetes, Heart Disease, Stroke, Respiratory Disease, Lack of Physical Activity, Elder Health, Obesity, Tobacco Use, Poor Nutrition, Mental Health","Lack of Prevention and Wellness Services, Lack of Affordable Housing, Access to Healthy Food","Key Informant Interviews: 
18"
,Beth Israel Deaconess Hospital – Needham,"Dedham, Dover, Needham, Westwood","Alcohol and Substance Use, Mental Health, Lyme Disease, Social Isolation, Heart Disease, Cancer, Injuries, Suicide","Transportation, Health Literacy, Lack of Services or Providers, Cost of Care, Lack of Care Coordination, Insurance Coverage, Lack of Prevention and Wellness Services, Lack of Community Support, Lack of Affordable Housing, Stigma","Key Informant Interviews: 
10 
Focus Groups: 
2"
,Beth Israel Deaconess Medical Center,"Boston (Allston, Brighton, Chinatown, Dorchester, Fenway/Kenmore, Roxbury, South End), 14 Harwich, Provincetown, Quincy, Truro, Waltham, Wellfleet","Alcohol and Substance Use, Cancer, Poor Nutrition, Lack of Physical Activity, Mental Health, Hypertension, Asthma, Tobacco Use, Heart Disease, Violence, Poverty","Immigration Status, Cultural Sensitivity Issues, Poverty, Lack of Clinic – Community Links, Racism and Segregation, Transportation, Unemployment, General Access to Care, Insurance Coverage, Healthy Literacy","Key Informant Interviews: 
13"
,Beverly & Addison Gilbert Hospitals,"Beverly, Boxford, Danvers, Essex, Gloucester, Hamilton, Ipswich, Manchester-by-the-Sea, Middleton, Peabody, Rockport, Topsfield, Wenham","Alcohol and Substance Use, Mental Health, Diabetes, Poverty, Cancer, Elder Health, Obesity, Tobacco Use, Hypertension, Asthma","Poverty, Immigration Status, Lack of Affordable Housing, Cost of Care, General Access to Care, Insurance Coverage","Key Informant Interviews: 
20 
Survey Responses: 
400"
